"Host","Log Name","Date Time","Time Zone","Method","URL","Response Code","Bytes Sent","Referer","User Agent"
"71.6.202.198","-","2018-02-13 06:27:47","GMT-0800","GET","/ccvv",404,445,"-","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64)"
"38.142.99.18","-","2018-02-13 11:39:13","GMT-0800","GET","/",200,543,"-","-"
"172.104.108.109","-","2018-02-13 12:46:15","GMT-0800","GET","/",200,527,"-","Mozilla/5.0"
"185.207.205.93","-","2018-02-13 13:06:33","GMT-0800","HEAD","/",200,260,"-","PycURL/7.19.5 libcurl/7.38.0 GnuTLS/3.3.8 zlib/1.2.8 libidn/1.29 libssh2/1.4.3 librtmp/2.3"
"185.207.205.93","-","2018-02-13 13:06:33","GMT-0800","GET","/",200,543,"-","PycURL/7.19.5 libcurl/7.38.0 GnuTLS/3.3.8 zlib/1.2.8 libidn/1.29 libssh2/1.4.3 librtmp/2.3"
"196.52.43.63","-","2018-02-13 14:37:38","GMT-0800","GET","/",200,562,"-","Mozilla/5.0(WindowsNT6.1;rv:31.0)Gecko/20100101Firefox/31.0"
"141.212.122.48","-","2018-02-13 14:38:08","GMT-0800","GET","/x",400,514,"-","Telesphoreo"
"111.94.170.123","-","2018-02-13 15:14:31","GMT-0800","GET","/",200,562,"-","-"
"111.94.170.123","-","2018-02-13 15:14:34","GMT-0800","GET","/",200,562,"-","-"
"139.162.119.197","-","2018-02-13 21:33:58","GMT-0800","GET","/",200,562,"-","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36"
"209.126.136.4","-","2018-02-13 22:10:51","GMT-0800","GET","/",200,508,"-","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
"58.218.201.57","-","2018-02-14 13:12:15","GMT-0800","GET","/",200,600,"-","User-Agent:Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.2; .NET CLR 1.0.3705"
"58.218.201.57","-","2018-02-14 13:12:18","GMT-0800","GET","/index.action",404,474,"-","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"185.207.205.93","-","2018-02-14 14:19:38","GMT-0800","HEAD","/",200,260,"-","PycURL/7.19.5 libcurl/7.38.0 GnuTLS/3.3.8 zlib/1.2.8 libidn/1.29 libssh2/1.4.3 librtmp/2.3"
"185.207.205.93","-","2018-02-14 14:19:38","GMT-0800","GET","/",200,543,"-","PycURL/7.19.5 libcurl/7.38.0 GnuTLS/3.3.8 zlib/1.2.8 libidn/1.29 libssh2/1.4.3 librtmp/2.3"
"10.13.2.100","-","2018-02-14 14:28:49","GMT-0800","GET","/",200,565,"-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
"10.13.2.100","-","2018-02-14 14:28:49","GMT-0800","GET","/hamster.gif",200,700105,"http://10.13.2.253/","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
"10.13.2.100","-","2018-02-14 14:28:51","GMT-0800","GET","/favicon.ico",404,502,"http://10.13.2.253/","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
"176.32.33.238","-","2018-02-14 18:05:20","GMT-0800","GET","/",200,562,"-","masscan/1.0 (https://github.com/robertdavidgraham/masscan)"
"125.212.217.215","-","2018-02-15 01:24:10","GMT-0800","GET","/",200,543,"-","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
