"Host","Log Name","Date Time","Time Zone","Method","URL","Response Code","Bytes Sent","Referer","User Agent"
"67.53.77.196","-","2015-08-09 06:50:09","GMT-0700","GET","/micro/",404,466,"-","Scrapy/0.16.5 (+http://scrapy.org)"
"146.148.67.77","-","2015-08-09 06:54:52","GMT-0700","GET","/",200,600,"-","NerdyBot"
"46.185.117.31","-","2015-08-09 08:01:36","GMT-0700","GET","/",200,543,"http://poisk-zakona.ru/","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
"46.185.117.31","-","2015-08-09 08:01:36","GMT-0700","GET","/",200,543,"http://poisk-zakona.ru/","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
"46.185.117.31","-","2015-08-09 08:01:37","GMT-0700","GET","/",200,543,"http://poisk-zakona.ru/","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
"146.148.81.167","-","2015-08-09 08:14:20","GMT-0700","GET","/",200,600,"-","NerdyBot"
"61.164.149.244","-","2015-08-09 08:33:00","GMT-0700","GET","/manager/html",404,474,"-","Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)"
"95.215.9.222","-","2015-08-09 08:41:09","GMT-0700","GET","/",200,562,"-","netscan.lekus.su"
"119.63.196.110","-","2015-08-09 08:52:21","GMT-0700","GET","/",200,562,"-","Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
"69.58.178.56","-","2015-08-09 10:24:21","GMT-0700","GET","/robots.txt",200,365,"-","Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1"
"213.133.97.216","-","2015-08-09 12:15:06","GMT-0700","HEAD","/",200,279,"-","Mozilla/5.0 (Windows NT 6.1; rv:36.0) Gecko/20100101 Firefox/36.0"
