"Host","Log Name","Date Time","Time Zone","Method","URL","Response Code","Bytes Sent","Referer","User Agent"
"104.154.92.91","-","2015-07-12 06:50:37","GMT-0700","GET","/",200,600,"-","NerdyBot"
"104.197.87.133","-","2015-07-12 07:40:59","GMT-0700","GET","/",200,600,"-","NerdyBot"
"119.63.196.83","-","2015-07-12 08:52:06","GMT-0700","GET","/",200,562,"-","Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
"81.144.138.34","-","2015-07-12 09:25:32","GMT-0700","GET","/robots.txt",200,385,"-","Wotbox/2.01 (+http://www.wotbox.com/bot/)"
"104.218.192.217","-","2015-07-12 09:50:07","GMT-0700","GET","/ramble/index.php?blogId=39",404,469,"http://spinster.org/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0"
"104.218.192.217","-","2015-07-12 09:50:08","GMT-0700","GET","/",200,527,"http://spinster.org","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0"
"66.240.236.119","-","2015-07-12 09:50:23","GMT-0700","GET","/",200,543,"-","-"
"66.240.236.119","-","2015-07-12 09:50:24","GMT-0700","GET","/robots.txt",200,365,"-","-"
"66.240.236.119","-","2015-07-12 09:50:24","GMT-0700","GET","/sitemap.xml",404,473,"-","-"
"173.214.171.74","-","2015-07-12 10:19:13","GMT-0700","GET","/",200,565,"www.spinster.org","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
"23.247.255.167","-","2015-07-12 10:30:35","GMT-0700","GET","/ramble/index.php?blogId=41",404,450,"http://spinster.org/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0"
"23.247.255.167","-","2015-07-12 10:30:35","GMT-0700","GET","/",200,508,"http://spinster.org","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0"
