"Host","Log Name","Date Time","Time Zone","Method","URL","Response Code","Bytes Sent","Referer","User Agent"
"107.170.230.110","-","2018-02-18 13:32:05","GMT-0800","GET","/",200,508,"-","Mozilla/5.0 zgrab/0.x"
"125.39.222.44","-","2018-02-18 13:52:29","GMT-0800","CONNECT","198.27.242.168",400,514,"-","-"
"141.212.122.144","-","2018-02-18 16:12:06","GMT-0800","GET","/x",400,514,"-","Telesphoreo"
"71.6.146.185","-","2018-02-18 17:32:33","GMT-0800","GET","/",200,543,"-","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
"71.6.146.185","-","2018-02-18 17:32:34","GMT-0800","GET","/robots.txt",200,365,"-","-"
"71.6.146.185","-","2018-02-18 17:32:34","GMT-0800","GET","/sitemap.xml",404,473,"-","-"
"71.6.146.185","-","2018-02-18 17:32:34","GMT-0800","GET","/.well-known/security.txt",404,486,"-","-"
"71.6.146.185","-","2018-02-18 17:32:34","GMT-0800","GET","/favicon.ico",404,505,"-","python-requests/2.10.0"
"10.13.2.100","-","2018-02-18 19:38:33","GMT-0800","GET","/",200,565,"-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
"10.13.2.100","-","2018-02-18 19:38:33","GMT-0800","GET","/hamster.gif",200,700105,"http://10.13.2.253/","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
"10.13.2.100","-","2018-02-18 19:38:35","GMT-0800","GET","/favicon.ico",404,502,"http://10.13.2.253/","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
"185.207.205.93","-","2018-02-18 20:55:14","GMT-0800","HEAD","/",200,260,"-","PycURL/7.19.5 libcurl/7.38.0 GnuTLS/3.3.8 zlib/1.2.8 libidn/1.29 libssh2/1.4.3 librtmp/2.3"
